taxon,genus,endemism_category,esa_status,nv_state_status,blm_status,usfs_status,natureserve_grank,book_thematic_category,notes,physiographic_region,physiographic_section
Boechera fernaldiana var. fernaldiana,Boechera,endemic,,,,,,Widespread Multiple Mountain Ranges,10 counties; Lake section NGB + Reno/Lahontan/Central/Tonopah/Bonneville sections CGB; 13 mountain ranges; 1661-3358m,Central Great Basin,Tonopah Section
Boechera nevadensis,Boechera,endemic,,,,Forest Service Region 4 Sensitive,G1,Two or Few Mountain Ranges,Spruce Mtn/Snake Range/Spring Mts; Elko/White Pine/Clark cos; limestone talus 2560-3353m; 481km N-S,Central Great Basin,Calcareous Mountains Section
Boechera ophira,Boechera,endemic,,,,Forest Service Region 4 Sensitive,G1,One Mountain Range,Toiyabe Range only; Nye Co; crest south of Toiyabe Range Peak to South Toiyabe Peak; 3060-3170m,Central Great Basin,Central Section
Castilleja dissitiflora,Castilleja,endemic,,,,,,Foothills Mid-slopes,Eureka/Lander/Nye/White Pine cos; Central & Calcareous Mts sections; limestone/quartzite substrates 2332-3293m,Central Great Basin,Central / Calcareous Mountains Sections
Castilleja salsuginosa,Castilleja,endemic,,Critically Endangered,BLM Sensitive,,G1,Groundwater Springs,Hot Spring Hill Eureka Co & Steptoe Valley White Pine Co; hot spring endemics; moist alkaline clay 1786-1865m,Central Great Basin,Calcareous Mountains Section
Caulanthus barnebyi,Caulanthus,endemic,,,BLM Special Status,,G1,Foothills,Humboldt & Pershing cos; Lake section NGB & Lahontan section CGB; Black Rock Desert foothills; basalt tuff/volcanic; 1250-1524m,Northern Great Basin,Lake Section
Chrysothamnus eremobius,Chrysothamnus,endemic,,,,,G1,Cliff-dwelling,Sheep & Pintwater ranges; Clark & Lincoln cos; limestone cliffs/ledges 1402-2134m,Mojave Desert,East Mountains Section
Chylismia megalantha,Chylismia,endemic,,,BLM Special Status,,G3,Valley Bottoms and Adjacent Foothills,Lincoln & Nye cos; East Mts section Mojave; Nevada National Security Site; alkaline volcanic soils 1030-1378m,Central Great Basin,Tonopah Section
Cirsium clokeyi,Cirsium,endemic,,,,,G1,Spring Mountains,Spring Mts Clark Co; moist soils/spring areas/drainage bottoms/snow depressions; 2560-3567m,Mojave Desert,East Mountains Section
Cirsium viperinum,Cirsium,endemic,,,,,G1,Two or Few Mountain Ranges,White Pine Co only; Schell Creek Range & Snake Range (Mt Moriah & Mt Washington); limestone/quartzite/granite 3255-3500m,Central Great Basin,Calcareous Mountains Section
Cymopterus goodrichii,Cymopterus,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Two or Few Mountain Ranges,Humboldt & Toiyabe ranges; Lander & Pershing cos; dark slate/limestone scree & talus 2225-3322m,Central Great Basin,Central Section
Diplacus ovatus,Diplacus,endemic,,,BLM Sensitive,,G2,Charismatic Edaphic Moderate Elevations,Carson City/Storey/Washoe cos; Reno section; Carson Range east flank; hydrothermal andesite/sinter 1372-1951m,Sierra Nevada,Sierra Nevada Region
Draba arida,Draba,endemic,,,,Forest Service Region 4 Sensitive,G2,Two or Few Mountain Ranges,Toiyabe & Toquima ranges; Lander & Nye cos; talus/scree/gravel; alpine 2149-3383m,Central Great Basin,Central Section
Draba jaegeri,Draba,endemic,,,,Forest Service Region 4 Sensitive,G2,Spring Mountains,Spring Mts Clark Co; moist soils/spring areas/avalanche chutes; 2683-3618m,Mojave Desert,East Mountains Section
Draba paucifructa,Draba,endemic,,,,Forest Service Region 4 Sensitive,G1,Spring Mountains,Spring Mts Clark Co; moist soils/spring/seep areas; 2560-3475m,Mojave Desert,East Mountains Section
Draba pedicellata var. wheelerensis,Draba,endemic,,,,,G3,One Mountain Range,Snake Range only; White Pine Co; The Table/Wheeler Peak/Mt Washington/Highland Ridge; quartzite talus & limestone; 3109-3810m,Central Great Basin,Calcareous Mountains Section
Draba serpentina,Draba,endemic,,,,Forest Service Region 4 Sensitive,G1,Two or Few Mountain Ranges,Snake Range (primary) & Toiyabe Range (1 collection); Lander & White Pine cos; quartzite/limestone alpine 3050-3633m,Central Great Basin,Central Section
Draba sphaeroides,Draba,endemic,,,,,G2,Two or Few Mountain Ranges,Jarbidge Mts/East Humboldt Range/Ruby Mts; Elko Co; Owyhee Uplands & Central Mts sections; subalpine/alpine 2438-3300m,Northern Great Basin,Owyhee Uplands Section
Enceliopsis nudicaulis var. corrugata,Enceliopsis,endemic,Threatened,Critically Endangered,BLM Sensitive,,G5,Ash Meadows,Ash Meadows NWR; Amargosa section Mojave; edaphic alkaline clay/silt 670-700m,Mojave Desert,Amargosa Section
Eremogone congesta var. wheelerensis,Eremogone,endemic,,,,,G5,Two or Few Mountain Ranges,Lincoln & White Pine cos; Calcareous Mts section; Snake/Wilson Creek/White Rock/Mahogany Mts; 2073-3658m,Central Great Basin,Calcareous Mountains Section
Eremogone stenomeres,Eremogone,endemic,,,,,G2,Cliff-dwelling,Clark & Lincoln cos; Coyote Springs Valley foothills; Las Vegas/Elbow/Arrow Canyon ranges; vertical carbonate cliffs 732-1098m,Mojave Desert,East Mountains Section
Ericameria compacta,Ericameria,endemic,,,,Forest Service Region 4 Sensitive,G2,Spring Mountains,Spring Mts & Sheep Range; Clark Co; East Mts section Mojave; ridges/slopes/outcrops; limestone 2360-3354m,Mojave Desert,East Mountains Section
Erigeron cavernensis,Erigeron,endemic,,,BLM Special Status,Forest Service Region 4 Sensitive,G1,Cliff-dwelling,Schell Creek/White Pine/Highland ranges; White Pine/Nye/Lincoln cos; N & E-facing limestone cliffs 2750-3264m,Central Great Basin,Calcareous Mountains Section
Erigeron ovinus,Erigeron,endemic,,,BLM Sensitive,,G2,Cliff-dwelling,Clark & Lincoln cos; Worthington Mts to Sheep Range; carbonate rock faces/cliffs 1951-2470m,Mojave Desert,East Mountains Section
Erigeron uncialis var. conjugans,Erigeron,endemic,,,,,G4,Cliff-dwelling,Clark/Lincoln/Nye/White Pine cos; Snake Range to Spring Mts; carbonate outcrops 1951-3353m,Central Great Basin,Calcareous Mountains Section
Eriogonum anemophilum,Eriogonum,endemic,,,BLM Sensitive,,G3,Foothills Mid-slopes,Humboldt/Pershing/Lander/Eureka cos; bimodal elevation distribution; limestone/volcanic/shale ridges 1448-2743m,Central Great Basin,Lahontan / Central Sections
Eriogonum argophyllum,Eriogonum,endemic,,Critically Endangered,,,G1,Groundwater Springs,Sulphur Hot Springs Ruby Valley; Elko Co; mineral-encrusted sandy soils along spring runoff; 1829-1845m,Central Great Basin,Central Section
Eriogonum concinnum,Eriogonum,endemic,,,BLM Sensitive,,G3,Foothills,Nye Co only; Nevada National Security Site; Tonopah section & East Mts Mojave; deep pumice sand/talus 1295-2043m,Central Great Basin,Tonopah Section
Eriogonum diatomaceum,Eriogonum,endemic,,Critically Endangered,BLM Sensitive,,G1,Charismatic Edaphic Moderate Elevations,Churchill Narrows only; Lyon Co; Lahontan section; white-yellow chalky diatomaceous/gypsiferous deposits; 1300-1400m,Central Great Basin,Lahontan Section
Eriogonum douglasii var. elkoense,Eriogonum,endemic,,,,Forest Service Region 4 Sensitive,G5,Foothills,Elko Co; Bull Run Basin/Mahogany Mts/Sunflower Flat area; Owyhee Uplands & Central sections; sandy/gravelly 1835-2109m,Northern Great Basin,Owyhee Uplands Section
Eriogonum esmeraldense var. toiyabense,Eriogonum,endemic,,,,Forest Service Region 4 Sensitive,G4,Foothills Mid-slopes,Eureka/Lander/Nye cos + Humboldt (Jackson Mts) + Elko (Independence Mts); andesitic/rhyolitic talus 2118-3292m,Central Great Basin / Northern Great Basin,Central Section / Owyhee Uplands Section
Eriogonum heermannii var. clokeyi,Eriogonum,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G5,Foothills,Clark/Lincoln/Nye cos; primarily Mojave Desert; Spring Mts/Sheep Range/Pintwater Range; carbonate outcrops 1050-1829m,Mojave Desert,East Mountains Section
Eriogonum holmgrenii,Eriogonum,endemic,,,,,G1,One Mountain Range,South Snake Range only; White Pine Co; Pyramid Peak to Mt Washington/Lexington Arch; limestone/quartzite/granite 2487-3598m,Central Great Basin,Calcareous Mountains Section
Eriogonum kingii,Eriogonum,endemic,,,,,G3,Foothills Mid-slopes,Elko & White Pine cos; Owyhee Uplands/Central/Calcareous Mts/Bonneville sections; higher & lower elevation pops; 1585-3353m,Northern Great Basin,Owyhee Uplands Section
Eriogonum lemmonii,Eriogonum,endemic,,,BLM Sensitive,,G3,Charismatic Edaphic Moderate Elevations,Churchill/Lyon/Pershing/Storey/Washoe cos; Lahontan section; Sahwave Mts to Desert Mts/Singatse Range; volcanic tuff/ash clay hills 1219-1890m,Central Great Basin,Lahontan Section
Eriogonum lewisii,Eriogonum,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G3,Two or Few Mountain Ranges,Elko Co only; Jarbidge/Independence Mts/Ellen D Mtn/Salmon River Range/Tuscarora Mts; siliceous carbonate rocks 2194-2926m,Northern Great Basin,Owyhee Uplands Section
Eriogonum microtheca var. arceuthinum,Eriogonum,endemic,,,BLM Special Status,,G5,Charismatic Edaphic Moderate Elevations,Mahogany Mts; Lincoln Co; Bonneville section; white volcanic tuff outcrops; PJ woodland; 1935-1992m,Central Great Basin,Bonneville Section
Eriogonum nutans var. glabratum,Eriogonum,endemic,,,BLM Sensitive,,G4,Foothills,Elko & Eureka cos; Central & Bonneville sections; Palisade Canyon to Hubbard Basin; 1479-2030m,Central Great Basin,Central / Bonneville Sections
Eriogonum ovalifolium var. williamsiae,Eriogonum,endemic,Endangered,Critically Endangered,BLM Sensitive,,G5,Groundwater Springs,Steamboat Hills east side; Washoe Co; Reno section; siliceous sinter soils ancient spring; 1400-1450m; critically threatened by groundwater withdrawal,Central Great Basin,Reno Section
Eriogonum robustum,Eriogonum,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Charismatic Edaphic Moderate Elevations,Carson City/Storey/Washoe cos; Sierra Nevada region & Reno section; hydrothermal andesite; Reno area 1311-2027m,Central Great Basin,Reno Section
Eriogonum rubricaule,Eriogonum,endemic,,,BLM Sensitive,,G3,Charismatic Edaphic Moderate Elevations,9 counties western NV; Lake section NGB & western CGB sections; Virgin Valley to Silver Peak Range; volcanic ash/diatomite/tuff 1100-1800m,Central Great Basin,Tonopah Section
Eriogonum tiehmii,Eriogonum,endemic,Endangered,,BLM Sensitive,,G1,Charismatic Edaphic Moderate Elevations,Silver Peak Range; Esmeralda Co; Tonopah section; ~4ha habitat; lithium-rich soils 1800-1900m; recently federally listed Endangered,Central Great Basin,Tonopah Section
Eriogonum umbellatum var. vernum,Eriogonum,endemic,,,,,G5,Foothills,Nye Co; Nevada National Security Site & Monitor/Kawich ranges; Timpahute Range to Shoshone Mtn; volcanic rock sandy soils 1372-1982m,Central Great Basin,Tonopah Section
Erythranthe brachystylis,Erythranthe,endemic,,,,,G1,One Mountain Range,Shoshone Mts only; Nye Co; Tonopah section; spring seep habitat Sunnyside Creek; moist loam 2134m; very few collections,Central Great Basin,Tonopah Section
Frasera pahutensis,Frasera,endemic,,,BLM Special Status,,G3,Two or Few Mountain Ranges,Toquima/Monitor/Hot Creek ranges + Pahute Mesa disjunct; Nye Co; rhyolitic/andesitic/granitic soils 2103-2482m; only Gentianaceae endemic,Central Great Basin,Central Section
Glossopetalon spinescens var. clokeyi,Glossopetalon,endemic,,,,Forest Service Region 4 Sensitive,G2,Cliff-dwelling,Spring Mts Clark Co only; East Mts section Mojave; carbonate cliff faces/ledges/crevices; 1951-2810m; only Crossosomataceae endemic,Mojave Desert,East Mountains Section
Helianthus devernii,Helianthus,endemic,Under Review,Critically Endangered,,,G1,Groundwater Springs,Calico Basin Red Rock Canyon NCA; Las Vegas; Clark Co; spring systems; moist sandy soil Aztec sandstone; 1110-1157m; ~400 plants,Mojave Desert,East Mountains Section
Heterotheca excelsior,Heterotheca,endemic,,,California BLM Sensitive,,G1,Spring Mountains,Red Rock Canyon NCA; Clark Co only; Excelsior Canyon/Willow Spring/Pine Creek Canyon; sandy rocky sandstone canyon bottoms 1200m,Mojave Desert,East Mountains Section
Ionactis caelestis,Ionactis,endemic,,,BLM Sensitive,,G1,Spring Mountains,Red Rock Canyon NCA; Clark Co; Bridge Mtn & Mt Wilson; barren Aztec sandstone crevices 1918-2135m,Mojave Desert,East Mountains Section
Ipomopsis congesta var. nevadensis,Ipomopsis,endemic,,,,,G5,One Mountain Range,Toiyabe Range only; Lander Co; crest north of Bunker Hill; shale/scree/rocky clay carbonate soils 3170-3292m; ~4km extent,Central Great Basin,Central Section
Ivesia arizonica var. saxosa,Ivesia,endemic,,,BLM Sensitive,,G3,Cliff-dwelling,Clark/Lincoln/Nye cos; Grant Range/Pahute Mesa/Pahroc Range/White River Narrows/Sheep Range; volcanic/granitic rock faces 1372-2235m,Central Great Basin,Calcareous Mountains Section
Ivesia cryptocaulis,Ivesia,endemic,,,,Forest Service Region 4 Sensitive,G2,Spring Mountains,Spring Mts Clark Co; drier soils open screes talus gravels; 2560-3567m,Mojave Desert,East Mountains Section
Ivesia kingii var. eremica,Ivesia,endemic,Threatened,Critically Endangered,BLM Sensitive,,G4,Ash Meadows,Ash Meadows NWR; Amargosa section Mojave; moist to saturated alkaline clay soils meadows/drainages/seeps 652-695m,Mojave Desert,Amargosa Section
Ivesia pityocharis,Ivesia,endemic,,,BLM Sensitive,,G1,One Mountain Range,Pine Nut Mts only; Douglas Co; Reno section; Mount Siegel area; moist meadows/seasonally wet flats; decomposed granite 2330-2621m,Central Great Basin,Reno Section
Johanneshowellia crateriorum,Johanneshowellia,endemic,,,BLM Sensitive,,G1,Valley Bottoms and Adjacent Foothills,Nye Co; Central section CGB; Pancake Range & Newark/Big Sand Spring valleys; sandy flats/dark pumice; 1676-1820m; ~25km extent,Central Great Basin,Central Section
Lathyrus grimesii,Lathyrus,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Two or Few Mountain Ranges,Independence Mts (primary) + Bull Run Mts (aerial photo only); Elko Co; Owyhee Uplands; steep clay slopes yellow-brown scree 2195-2380m,Northern Great Basin,Owyhee Uplands Section
Lepidium tiehmii,Lepidium,endemic,Endangered,,BLM Sensitive,,G2,Foothills,Douglas/Lyon/Storey cos; Reno section; Virginia Range to Buckskin Range; Pine Nut Mts; basalt/rocky clay soils 1402-1875m,Central Great Basin,Reno Section
Lupinus malacophyllus,Lupinus,endemic,,,BLM Sensitive,,G3,Foothills,Douglas/Lyon/Storey/Washoe cos; Sierra Nevada region & Reno section; Reno/Truckee Meadows/Carson City/Pine Nut Mts; sandy/gravelly/clay 1372-1981m,Central Great Basin,Reno Section
Lycium shockleyi,Lycium,endemic,,,,,,Deep Loose Sand,Churchill/Mineral/Esmeralda/Nye/Clark cos; Lahontan & Tonopah CGB & East Mts Mojave; low sand ridges; Carson Sink to Amargosa Valley; 500-1692m; 591km N-S,Central Great Basin,Lahontan Section
Mentzelia argillicola,Mentzelia,endemic,,,BLM Sensitive,,G1,Charismatic Edaphic Moderate Elevations,Lincoln Co; Tonopah section; Lake Valley & Meadow Valley; gypsum-rich clay soils steep barren slopes 1448-1829m; ~35km extent,Central Great Basin,Tonopah Section
Mentzelia candelariae,Mentzelia,endemic,,,BLM Sensitive,,G2,Charismatic Edaphic Moderate Elevations,Churchill/Esmeralda/Mineral/Nye/Pershing cos; Lahontan/Tonopah/Central sections; light-colored clay hillsides/volcanic ash; 1158-2055m,Central Great Basin,Tonopah Section
Mentzelia leucophylla,Mentzelia,endemic,Threatened,Critically Endangered,BLM Sensitive,,G1,Ash Meadows,Ash Meadows NWR Nye Co only; Amargosa section Mojave; edaphic alkaline clay/silt; ~670-700m,Mojave Desert,Amargosa Section
Mentzelia tiehmii,Mentzelia,endemic,,,BLM Sensitive,,G2,Charismatic Edaphic Moderate Elevations,White River Valley; Lincoln & Nye cos; Calcareous Mts section; white alkaline clay/gypsiferous badlands 1509-1585m; ~45km extent,Central Great Basin,Calcareous Mountains Section
Mirabilis pudica,Mirabilis,endemic,,,,,G3,Valley Bottoms and Adjacent Foothills,Clark/Lincoln/Nye cos; Tonopah section & East Mts Mojave; dry playas/open calcareous valleys; 945-1676m; ~9600km2; only Nyctaginaceae endemic,Central Great Basin,Tonopah Section
Monardella muriculata,Monardella,endemic,,,,,,Two or Few Mountain Ranges,Eugene Mts & Humboldt Range; Pershing Co; shaley limestone slopes; steep cirque & exposed ridgelines 2280-2591m,Central Great Basin,Lahontan Section
Oreocarya insolita,Oreocarya,endemic,,Critically Endangered,BLM Sensitive,,,Groundwater Springs,Las Vegas Valley only; Clark Co; Colorado River section Mojave; alkaline spring mounds; presumed historically extinct - site now urbanized ~610-672m,Mojave Desert,Colorado River Section
Oreocarya welshii,Oreocarya,endemic,,,,,G4,Valley Bottoms and Adjacent Foothills,Lincoln/Nye/White Pine cos; Tonopah & Calcareous Mts sections; White River Valley east to Cave/Lake/Spring valleys; chalky clay/calcareous soils 1400-2089m,Central Great Basin,Calcareous Mountains Section
Pedicularis semibarbata var. charlestonensis,Pedicularis,endemic,,,,,G4,Spring Mountains,Spring Mts & Sheep Range; Clark Co; canyon slopes/hillsides/dry gravelly meadows; limestone 2134-2744m,Mojave Desert,East Mountains Section
Penstemon arenarius,Penstemon,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Deep Loose Sand,Churchill/Mineral/Nye cos; Lahontan & Tonopah CGB & East Mts Mojave; sand flats/deep sand; Carson Sink/Fortymile Desert/Big Smoky Valley 1219-1803m,Central Great Basin,Lahontan Section
Penstemon floribundus,Penstemon,endemic,,,BLM Sensitive,,G2,One Mountain Range,Jackson Mts only; Humboldt Co; Lahontan section; dark limestone ridges; Bottle Creek to King Lear Peak to McGill Canyon; 1200-2380m,Central Great Basin,Lahontan Section
Penstemon leiophyllus var. keckii,Penstemon,endemic,,,,Forest Service Region 4 Sensitive,G3,Spring Mountains,Spring Mts Clark Co; drier soils open screes talus; 2499-3633m,Mojave Desert,East Mountains Section
Penstemon moriahensis,Penstemon,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Two or Few Mountain Ranges,Schell Creek Range/Snake Range/Kern Mts; White Pine Co only; carbonate soils 2166-2991m,Central Great Basin,Calcareous Mountains Section
Penstemon palmeri var. macranthus,Penstemon,endemic,,,BLM Sensitive,,G4,Foothills,Churchill/Mineral/Nye/Pershing cos; Lahontan/Central/Tonopah sections; Carson Sink/Dixie Valley/Monitor & Hot Creek ranges; light-colored tuffaceous rock 1045-2195m,Central Great Basin,Lahontan Section
Penstemon procerus var. modestus,Penstemon,endemic,,,,,G5,Two or Few Mountain Ranges,Ruby Mts & East Humboldt Range only; Elko Co; Central section; moist soils to dry outcrops; meadows/conifers/alpine 2438-3231m,Central Great Basin,Lahontan Section
Penstemon pudicus,Penstemon,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G1,Two or Few Mountain Ranges,Hot Creek & Kawich ranges; Nye Co only; Central & Tonopah sections; volcanic outcrops steep protected N/NE/E slopes 2286-3049m,Central Great Basin,Tonopah Section
Penstemon rhizomatosus,Penstemon,endemic,,,,Forest Service Region 4 Sensitive,G1,One Mountain Range,Schell Creek Range only; White Pine Co; Calcareous Mts section; limestone talus; Schellbourne Pass to Cave Mtn; 2850-3429m; ~75km crest,Central Great Basin,Calcareous Mountains Section
Penstemon rubicundus,Penstemon,endemic,,,BLM Sensitive,Forest Service Region 4 Sensitive,G2,Deep Loose Sand,Mineral Co (Wassuk Range primary) + Douglas Co disjunct; Reno section; tufa shores Walker Lake to sandy midslopes; 1250-2316m,Central Great Basin,Reno Section
Penstemon thompsoniae var. jaegeri,Penstemon,endemic,,,,,,Spring Mountains,Spring Mts & Sheep Range; Clark Co; East Mts section Mojave; knolls/slopes/ridges/flats; limestone 1710-2896m,Mojave Desert,East Mountains Section
Penstemon tiehmii,Penstemon,endemic,,,BLM Sensitive,,G1,One Mountain Range,Shoshone Range north end only; Lander Co; Central section; glaciated cirque Mt Lewis; 2286-2926m,Central Great Basin,Central Section
Phacelia beatleyae,Phacelia,endemic,,,BLM Sensitive,,G3,Valley Bottoms and Adjacent Foothills,Nye Co; Nevada National Security Site & Desert NWR only; East Mts section Mojave; washes/canyons/slopes loose gravel/scree 1067-1630m,Central Great Basin,Tonopah Section
Phacelia filiae,Phacelia,endemic,,,BLM Sensitive,,G3,Valley Bottoms and Adjacent Foothills,Clark & Nye cos; East Mts section Mojave; Rock Valley to Nevada National Security Site; white tuffaceous/alkaline limestone soils 706-1293m,Central Great Basin,Tonopah Section
Phacelia glaberrima,Phacelia,endemic,,,BLM Sensitive,,G3,Charismatic Edaphic Moderate Elevations,Churchill/Humboldt/Lander/Lyon/Mineral/Pershing cos; Lake section NGB & western CGB sections; alkaline clay from volcanic ash/tuff; 1158-2043m; ~320km N-S,Central Great Basin / Northern Great Basin,Lahontan-Central-Reno-Tonopah Sections / Lake Section
Phacelia hastata var. charlestonensis,Phacelia,endemic,,,,,G5,Two or Few Mountain Ranges,Clark & Nye cos; Spring Mts (primary) + Kawich & Quinn Canyon ranges + Lincoln Co; Tonopah/Calcareous Mts/East Mts sections; 1350-2591m,Central Great Basin,Calcareous Mountains Section
Physaria hitchcockii var. confluens,Physaria,endemic,,,,,G3,Two or Few Mountain Ranges,Schell Creek/Grant/Quinn Canyon ranges; Nye & White Pine cos; Calcareous Mts section; loose limestone gravels 2133-3353m,Central Great Basin,Calcareous Mountains Section
Physaria hitchcockii var. hitchcockii,Physaria,endemic,,,,Forest Service Region 4 Sensitive,G3,Spring Mountains,Spring Mts & Sheep Range; Clark Co; ridges & open meadows; limestone 2362-3618m,Mojave Desert,East Mountains Section
